fiscalDateEnding,fiscalYear,fiscalQuarter,reportedDate,reportTime,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalRevenue,grossProfit,costOfRevenue,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,totalLiabilities,totalCurrentLiabilities,totalShareholderEquity,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,dividendPayout,freeCashFlow,priceDate_before,close_unadj_before,close_split_adj_before,close_full_adj_before,priceDate_release,close_unadj_release,close_split_adj_release,close_full_adj_release,priceDate_after,close_unadj_after,close_split_adj_after,close_full_adj_after,market_reaction_return_1d,market_reaction_type,return_close_before_to_after
2009-10-31,2009,Q3,2009-11-05,pre-market,0.005,0.003,0.002,66.6667,903206000.0,391783000.0,511423000.0,107845000.0,86000000.0,197948000.0,283938000.0,107577000.0,3463574000.0,2357716000.0,614490000.0,614490000.0,1039939000.0,888806000.0,2423635000.0,22975240000.0,141317000.0,16593000.0,0.0,124724000.0,2009-11-04,11.979999542236328,0.2994999885559082,0.2742573320865631,2009-11-05,12.269999980926514,0.30674999952316284,0.2808963358402252,2009-11-06,13.15999984741211,0.32899999618530273,0.30127111077308655,0.09849792704173593,Unspecified (Next Day Close vs Prev Close),0.09849792704173593
2010-01-31,2010,Q4,2010-02-17,pre-market,0.006,0.005,0.001,20.0,982488000.0,438721000.0,543767000.0,134282000.0,88188000.0,216251000.0,304439000.0,131076000.0,3585918000.0,2480830000.0,447221000.0,447221000.0,920778000.0,784378000.0,2665140000.0,22976000000.0,69245000.0,22575000.0,77972000.0,46670000.0,2010-02-16,17.669999599456787,0.4417499899864197,0.40451812744140625,2010-02-17,17.84000039100647,0.44600000977516174,0.4084099531173706,2010-02-18,16.670000553131104,0.4167500138282776,0.38162529468536377,-0.05659284764527263,Unspecified (Next Day Close vs Prev Close),-0.05659284764527263
2010-04-30,2010,Q1,2010-05-13,pre-market,0.006,0.005,0.001,20.0,1001813000.0,456377000.0,545436000.0,147393000.0,90900000.0,218105000.0,308984000.0,137594000.0,3803030000.0,2726980000.0,447262000.0,447262000.0,942385000.0,765293000.0,2860645000.0,23639880000.0,-5397000.0,17080000.0,0.0,-22477000.0,2010-05-12,14.68000054359436,0.367000013589859,0.336068332195282,2010-05-13,14.65000033378601,0.36625000834465027,0.33538156747817993,2010-05-14,12.960000038146973,0.3240000009536743,0.29669246077537537,-0.11716626545171223,Unspecified (Next Day Close vs Prev Close),-0.11716626545171223
2010-07-31,2010,Q2,2010-08-12,pre-market,0.001,0.003,-0.002,-66.6667,811208000.0,134292000.0,676916000.0,-175207000.0,98900000.0,210635000.0,309499000.0,-140961000.0,3731268000.0,2655962000.0,377003000.0,377003000.0,970754000.0,819139000.0,2760514000.0,22910560000.0,34344000.0,37644000.0,0.0,-3300000.0,2010-08-11,8.880000114440918,0.22200000286102295,0.20328928530216217,2010-08-12,8.960000276565552,0.2240000069141388,0.2051207721233368,2010-08-13,9.390000104904175,0.23475000262260437,0.21496467292308807,0.057432380676492666,Unspecified (Next Day Close vs Prev Close),0.057432380676492666
2010-10-31,2010,Q3,2010-11-11,pre-market,0.004,0.004,0.0,0.0,843912000.0,392062000.0,451850000.0,103783000.0,83752000.0,204527000.0,288279000.0,84862000.0,3915579000.0,2807702000.0,451000000.0,451000000.0,1017699000.0,816489000.0,2897880000.0,23305920000.0,212177000.0,21823000.0,0.0,190354000.0,2010-11-10,12.740000486373901,0.31850001215934753,0.2916560769081116,2010-11-11,12.610000371932983,0.3152500092983246,0.2886800169944763,2010-11-12,13.259999752044678,0.33149999380111694,0.30356037616729736,0.04081622226214175,Unspecified (Next Day Close vs Prev Close),0.04081622226214175
2011-01-31,2011,Q4,2011-02-16,pre-market,0.006,0.004,0.002,50.0,886376000.0,426359000.0,460017000.0,179778000.0,88000000.0,215563000.0,246581000.0,171651000.0,4495246000.0,3226950000.0,665361000.0,665361000.0,1313784000.0,942682000.0,3181462000.0,24064000000.0,434673000.0,21343000.0,0.0,413330000.0,2011-02-15,22.55000114440918,0.5637500286102295,0.5162356495857239,2011-02-16,23.380000591278076,0.5845000147819519,0.5352367162704468,2011-02-17,25.68000078201294,0.6420000195503235,0.5878905653953552,0.13880272675305164,Unspecified (Next Day Close vs Prev Close),0.13880272675305164
2011-04-30,2011,Q1,2011-05-12,pre-market,0.006,0.005,0.001,20.0,962039000.0,484503000.0,477536000.0,154862000.0,98100000.0,231524000.0,329641000.0,135219000.0,4736744000.0,3496763000.0,683633000.0,683633000.0,1288936000.0,981166000.0,3447808000.0,24538960000.0,172200000.0,31195000.0,0.0,141005000.0,2011-05-11,19.869999885559082,0.49674999713897705,0.4548826813697815,2011-05-12,20.499999523162842,0.512499988079071,0.4693051278591156,2011-05-13,18.259999752044678,0.45649999380111694,0.41802504658699036,-0.08102668290602379,Unspecified (Next Day Close vs Prev Close),-0.08102668290602379
2011-07-31,2011,Q2,2011-08-11,pre-market,0.006,0.006,0.0,0.0,1016517000.0,525284000.0,491233000.0,174030000.0,103533000.0,247721000.0,351254000.0,151573000.0,4913614000.0,3317557000.0,532614000.0,532614000.0,1224145000.0,960299000.0,3689469000.0,24557360000.0,82021000.0,23323000.0,0.0,58698000.0,2011-08-10,12.339999675750732,0.3084999918937683,0.2824987769126892,2011-08-11,13.40999960899353,0.33524999022483826,0.3069942891597748,2011-08-12,12.879999876022339,0.32199999690055847,0.29486092925071716,0.043760020744616095,Unspecified (Next Day Close vs Prev Close),0.043760020744616095
2011-10-31,2011,Q3,2011-11-10,pre-market,0.007,0.006,0.001,16.6667,1066180000.0,556717000.0,509463000.0,197090000.0,103100000.0,256498000.0,359627000.0,178273000.0,5089043000.0,3500071000.0,566816000.0,566816000.0,1115593000.0,886684000.0,3973450000.0,24542400000.0,244417000.0,39035000.0,0.0,205382000.0,2011-11-09,14.320000410079956,0.3580000102519989,0.3278268277645111,2011-11-10,14.470000267028809,0.3617500066757202,0.3312608301639557,2011-11-11,14.980000257492065,0.37450000643730164,0.342936247587204,0.04608963801323322,Unspecified (Next Day Close vs Prev Close),0.04608963801323322
2012-01-31,2012,Q4,2012-02-15,pre-market,0.005,0.005,0.0,0.0,953194000.0,490013000.0,463181000.0,122317000.0,100800000.0,266862000.0,367696000.0,116025000.0,5552928000.0,3905358000.0,667876000.0,667876000.0,1407204000.0,929958000.0,4145724000.0,24743960000.0,410518000.0,45182000.0,0.0,365336000.0,2012-02-14,16.239999532699585,0.4059999883174896,0.37178128957748413,2012-02-15,16.169999837875366,0.40424999594688416,0.370178759098053,2012-02-16,16.449999809265137,0.4112499952316284,0.3765888214111328,0.012931075254250331,Unspecified (Next Day Close vs Prev Close),0.012931075254250331
